"","DMA_CODE","month","V1","YRMO","COS_NRX_CHN_PSO","Calls_comb","TV_GRP","lag.1.COS_NRX_CHN_PSO","lag.2.COS_NRX_CHN_PSO","lag.3.COS_NRX_CHN_PSO","lag.1.Calls_comb","lag.2.Calls_comb","lag.3.Calls_comb","lag.4.Calls_comb","lag.5.Calls_comb","lag.1.TV_GRP","lag.2.TV_GRP","lag.3.TV_GRP","lag.4.TV_GRP","lag.5.TV_GRP","calls_adstock_4_0.6","ln_calls_adstock_4_0.6","calls_adstock_4_0.7","ln_calls_adstock_4_0.7","calls_adstock_4_0.8","ln_calls_adstock_4_0.8","TV_GRP_adstock_4_0.6","ln_TV_GRP_adstock_4_0.6","TV_GRP_adstock_4_0.7","ln_TV_GRP_adstock_4_0.7","TV_GRP_adstock_4_0.8","ln_TV_GRP_adstock_4_0.8","calls_adstock_5_0.6","ln_calls_adstock_5_0.6","calls_adstock_5_0.7","ln_calls_adstock_5_0.7","calls_adstock_5_0.8","ln_calls_adstock_5_0.8","TV_GRP_adstock_5_0.6","ln_TV_GRP_adstock_5_0.6","TV_GRP_adstock_5_0.7","ln_TV_GRP_adstock_5_0.7","TV_GRP_adstock_5_0.8","ln_TV_GRP_adstock_5_0.8","calls_adstock_6_0.6","ln_calls_adstock_6_0.6","calls_adstock_6_0.7","ln_calls_adstock_6_0.7","calls_adstock_6_0.8","ln_calls_adstock_6_0.8","TV_GRP_adstock_6_0.6","ln_TV_GRP_adstock_6_0.6","TV_GRP_adstock_6_0.7","ln_TV_GRP_adstock_6_0.7","TV_GRP_adstock_6_0.8","calls_adstock_2_0.6","ln_TV_GRP_adstock_6_0.8","ln_calls_adstock_2_0.6","calls_adstock_2_0.7","ln_calls_adstock_2_0.7","calls_adstock_2_0.8","ln_calls_adstock_2_0.8","TV_GRP_adstock_2_0.6","ln_TV_GRP_adstock_2_0.6","TV_GRP_adstock_2_0.7","ln_TV_GRP_adstock_2_0.7","TV_GRP_adstock_2_0.8","ln_TV_GRP_adstock_2_0.8","dummy","TV_GRP_adstock_2_0.4","ln_TV_GRP_adstock_2_0.4","TV_GRP_adstock_2_0.2","ln_TV_GRP_adstock_2_0.2","ln_calls_adstock_6_0.8_by_carry","ln_Calls_Comb","Market_Nrx","Market_Share","Market_Sales","ln_TV_GRP","ln_calls_adstock_6_0.6_try"
"1",500,1,1,202001,10,32,0.62,29,31,20,21,23,25,29,23,1.16,1.3,2.54,1.8,1.92,58.28,4.08227198098783,66.545,4.21279404242164,76.32,4.34795265434013,2.33264,1.20376478269094,2.94022,1.37123655931444,3.68048,1.54340066877278,62.0384,4.14374406451687,73.5079,4.3109051600321,88.1984,4.49086310220536,2.56592,1.27142208508947,3.3724,1.47531205743754,4.41776,1.68968244589329,63.82688,4.17172033216116,77.37351,4.3614859876081,95.73504,4.57197569463117,2.7152192,1.31243768046674,3.6950944,1.54651821895437,5.0469056,44.6,1.79954667012242,3.81990771652034,46.7,3.8649313978943,48.8,3.90801498403061,1.316,0.839841559710749,1.432,0.888713964103921,1.548,0.935308737709917,"dummy",1.084,0.734289123891121,0.852,0.616266136223988,0.152399189821039,3.49650756146648,185,0.0537634408602151,175,0.482426149244293,0.0224286039363503
"2",500,2,2,202002,14,22,0.38,10,29,31,32,21,23,25,29,0.62,1.16,1.3,2.54,1.8,53.728,4.0023754614587,62.579,4.15228322714255,72.816,4.30157551027625,1.4504,0.896251276536428,1.8283,1.0396758244448,2.284,1.18906219159018,56.968,4.05989113415272,68.5815,4.24249872741037,83.056,4.43148324338647,1.779584,1.02230127621755,2.438154,1.23493469944204,3.324384,1.46426970249438,59.22304,4.09805500334702,73.45553,4.31020203441049,92.55872,4.53858926056211,1.919552,1.07143017985189,2.74068,1.31926741308134,3.914208,41.2,1.59213060124551,3.74242022104197,44.4,3.8155121050473,47.6,3.88362353090645,0.752,0.5607579925142,0.814,0.595534351692945,0.876,0.629141850584033,"dummy",0.628,0.487352267580349,0.504,0.408128225527648,0.412599023687465,3.13549421592915,172,0.0809248554913295,158,0.322083499169113,0.0236881792100984
"3",500,3,3,202003,17,5,0.44,14,10,29,22,32,21,23,25,0.38,0.62,1.16,1.3,2.54,34.256,3.56263572753969,43.283,3.79060085622297,53.832,4.00427396513225,1.14176,0.76162792093014,1.40768,0.878663628250419,1.73472,1.00602905403347,37.2368,3.6437984026733,48.8053,3.9081214040706,63.2528,4.1628253025923,1.31024,0.837351415240772,1.71981,1.0005620249269,2.2672,1.18393334898821,39.1808,3.69338926959176,53.00705,3.98911459359819,71.4448,4.28282489255385,1.5077504,0.919386096286978,2.1467078,1.14635676343776,3.0995072,18.2,1.4108667713643,2.95491027903374,20.4,3.06339092202781,22.6,3.16124671203156,0.668,0.511625303936555,0.706,0.534151449069487,0.744,0.556181325486788,"dummy",0.592,0.464991087422191,0.516,0.41607528722018,0.28552165950359,1.79175946922805,168,0.100591715976331,151,0.364643113587909,0.0218543743762826
"4",500,4,4,202004,13,0,0.9,17,14,10,5,22,32,21,23,0.44,0.38,0.62,1.16,1.3,17.832,2.93555755051792,25.256,3.26789453434774,34.464,3.56851809744275,1.43472,0.889831760189667,1.60686,0.958146431936695,1.81264,1.03412354406944,20.5536,3.07054285596217,30.2981,3.44355739282821,43.0656,3.78567943270765,1.585056,0.949747171168684,1.885376,1.05965522075737,2.287776,1.19021134835254,22.34208,3.15025774028272,34.16371,3.56001458488406,50.60224,3.94356508239801,1.686144,0.988106707981956,2.103867,1.13264875346483,2.71376,3,1.31204484048712,1.38629436111989,3.5,1.50407739677627,4,1.6094379124341,1.164,0.771958360984235,1.208,0.792087128414849,1.252,0.811818710277444,"dummy",1.076,0.730442965303642,0.988,0.687129108234382,0.219086949022112,0,141,0.0915492957746479,128,0.641853886172395,0.0221849136639628
"5",500,5,5,202005,4,0,0.38,13,17,14,0,5,22,32,21,0.9,0.44,0.38,0.62,1.16,6.552,2.0218124288432,9.996,2.397531570303,14.464,2.73851474190603,1.16048,0.770330419230595,1.35594,0.856939798572014,1.57616,0.946299918114491,10.6992,2.45952046339758,17.6792,2.92741060533115,27.5712,3.35239921746072,1.240832,0.806847225475861,1.504802,0.918209689496683,1.830112,1.04031628684377,12.33216,2.5901791615736,21.20867,3.10048275317767,34.45248,3.56819320821809,1.3310336,0.846311774364148,1.6997632,0.993164065460385,2.2102208,0,1.16633971982307,0,0,0,0,0,0.92,0.65232518603969,1.01,0.698134722070984,1.1,0.741937344729377,"dummy",0.74,0.553885113226438,0.56,0.444685821261446,0.254870943444149,0,38,0.102564102564103,34,0.322083499169113,0.066414850296759
"6",501,1,6,202001,624,2442,12.81,717,649,713,1017,1351,1787,1372,1584,24.81,26.54,50.74,37.32,39.74,3924.552,8.27526225727074,4428.831,8.39611671332729,5035.184,8.52440393143086,48.21024,3.8961017319235,60.58542,4.12042515421269,75.62248,4.33889050627675,4102.3632,8.31956220911916,4758.2482,8.46784499357497,5597.1552,8.6301923938783,53.046912,3.98985241016818,69.545952,4.25626429890638,90.908752,4.52079625877712,4225.53504,8.34913779688235,5024.47108,8.52227447579696,6116.20032,8.71885980678548,56.1370944,4.04545354496717,76.2250538,4.34672393546999,103.9307552,3052.2,4.65330065832299,8.02394549992431,3153.9,8.05671207875192,3255.6,8.08843898533012,27.696,3.35675774022998,30.177,3.43968064347785,32.658,3.51625076929088,"dummy",22.734,3.16690861924295,17.772,2.93236639793217,0.0121432587838238,7.80098207125774,4962,0.125730404996978,4338,2.6253929674212,0.00168227640477178
"7",501,2,7,202002,550,2145,7.75,624,717,649,2442,1017,1351,1787,1372,12.81,24.81,26.54,50.74,37.32,4268.136,8.35916674382841,4816.123,8.4799321408693,5441.192,8.60193719986746,30.10024,3.43721553619721,37.97712,3.66297480730676,47.46488,3.88083941192789,4499.7312,8.41199515144741,5245.1817,8.56525579574009,6173.1472,8.72812604669561,36.676144,3.62902710901506,50.159794,3.93495395011927,68.247984,4.23769403273033,4606.41792,8.43542287495231,5475.77374,8.60827147299376,6622.72416,8.79841305268594,39.5781472,3.70322967539573,56.4321664,4.05060453660945,80.4770016,3610.2,4.40032079146697,8.19179540606327,3854.4,8.25723004196349,4098.6,8.31864468695741,15.436,2.79947405102116,16.717,2.8745246306183,17.998,2.94433371046799,"dummy",12.874,2.63001658496311,10.312,2.42586410915422,0.0140774608842975,7.67136092319064,4357,0.126204681046352,3807,2.16905370036952,0.00193561791531719
"8",501,3,8,202003,572,1469,8.41,550,624,717,2145,2442,1017,1351,1787,7.75,12.81,24.81,26.54,50.74,3854.792,8.25733171236681,4515.911,8.41558363211756,5268.584,8.56970670103829,23.03056,3.17932635367992,28.62173,3.38850821361617,35.51112,3.59761687172401,4029.8816,8.30174039032161,4840.2861,8.48493568755303,5821.9536,8.6695629034042,26.470144,3.31309974217571,34.993984,3.58335181338038,46.381904,3.85824038365559,4168.83872,8.33563263778591,5140.62719,8.54512488228022,6407.51776,8.76538328448538,30.4156864,3.4473073350512,43.5218558,3.79598021017468,63.0083872,2756,4.15901412477337,7.9218984110238,2970.5,7.99682215480671,3185,8.06652149046999,13.06,2.64333388638252,13.835,2.69698925374279,14.61,2.74791173452734,"dummy",11.51,2.52652832447882,9.96,2.39425228151987,0.0159081366324599,7.29301767977278,4030,0.14190027288514,3458,2.24177295359729,0.0020678820733778
"9",501,4,9,202004,644,4,19.22,572,550,624,1469,2145,2442,1017,1351,8.41,7.75,12.81,24.81,26.54,2185.072,7.68986160506507,2920.956,7.98000853401794,3802.304,8.2436254416254,29.82296,3.42825986681175,33.29833,3.53509666493995,37.46672,3.64979345188673,2316.8752,7.74840618293347,3165.1377,8.06026773286217,4218.8672,8.34755893734058,33.038336,3.52748741884405,39.255211,3.6952394613231,47.628896,3.88421792212222,2421.92896,7.79273240136071,3392.20027,8.12952878750448,4661.56288,8.44732055018821,35.1020864,3.58635065868262,43.7157888,3.80032665625532,56.3255232,885.4,4.0487459556103,6.78716831599302,1032.3,6.94051284322031,1179.2,7.07343919462307,24.266,3.22945961840785,25.107,3.26220347760338,25.948,3.29390908309841,"dummy",22.584,3.16056851600693,20.902,3.08657795685357,0.0147422697210964,1.6094379124341,3405,0.189078097475044,2761,3.00667221359233,0.00228794257233139
"10",501,5,10,202005,139,0,7.96,644,572,550,4,1469,2145,2442,1017,19.22,8.41,7.75,12.81,24.81,994.56,6.90330539290851,1458.345,7.28574298390079,2041.6,7.621978785144,24.1936,3.22658999400801,28.19315,3.37393409271283,32.6864,3.51709419507487,1311.0432,7.17934089579123,2044.6692,7.62348025211031,3041.8432,8.02054762047208,25.853776,3.29040644421407,31.268831,3.47410177981118,37.933376,3.66185187761583,1390.12512,7.23786813755471,2215.59639,7.70372814071982,3375.09376,8.12447462784205,27.7830016,3.35978499066997,35.4386477,3.59562996138482,46.0631168,2.4,3.85148961145033,1.22377543162212,2.8,1.33500106673234,3.2,1.43508452528932,19.492,3.02003456607696,21.414,3.10968576362984,23.336,3.19195673551694,"dummy",15.648,2.81229008909133,11.804,2.54975762210762,0.0125960846943288,0,806,0.172242874845105,667,2.19277022698684,0.00896885766735404
